scenario_id,scenario_name,hqla_eur,gross_30d_outflows_eur,raw_30d_inflows_eur,capped_30d_inflows_eur,net_30d_outflows_eur,lcr_proxy_pct,liquidity_surplus_eur,survival_days_proxy,base_annual_nii_eur,delta_nii_eur,projected_annual_nii_eur
baseline,Baseline,490974845.14,274890764.15,45837646.24,45837646.24,229053117.91,214.35,261921727.23,64.3,46753037.06,0.0,46753037.06
rate_up_200bp,Rates +200 bps,485878460.95,274890764.15,45837646.24,45837646.24,229053117.91,212.12,256825343.03,63.64,46753037.06,20903623.95,67656661.01
retail_run,Retail Deposit Run,480782076.75,302279825.13,41253881.62,41253881.62,261025943.51,184.19,219756133.24,55.26,46753037.06,4627064.93,51380102.0
wholesale_freeze,Wholesale Funding Freeze,465492924.16,566476720.66,38961999.3,38961999.3,527514721.35,88.24,-62021797.19,26.47,46753037.06,8268455.26,55021492.32
combined_severe,Combined Severe,429818234.78,571654717.26,32086352.37,32086352.37,539568364.89,79.66,-109750130.11,23.9,46753037.06,15781512.74,62534549.81
